iter	Passed	Remaining
463	747	863
464	748	860
465	749	858
466	750	856
467	751	854
468	752	852
469	753	850
470	754	847
471	755	845
472	756	843
473	757	840
474	758	838
475	759	836
476	760	834
477	761	831
478	762	829
479	763	827
480	764	824
481	765	822
482	766	820
483	767	818
484	769	817
485	771	815
486	772	813
487	773	811
488	774	809
489	775	807
490	776	805
491	777	802
492	778	800
493	779	798
494	780	796
495	781	794
496	782	792
497	784	790
498	784	788
499	785	785
500	786	783
501	787	781
502	788	779
503	789	777
504	790	775
505	791	772
506	792	770
507	793	768
508	794	766
509	795	763
510	796	762
511	797	760
512	798	758
513	799	756
514	800	753
515	801	751
516	802	749
517	803	747
518	804	745
519	805	743
520	806	741
521	807	739
522	807	736
523	808	734
524	809	732
525	810	730
526	811	728
527	813	726
528	814	725
529	815	723
530	816	721
531	817	719
532	818	717
533	819	715
534	820	713
535	821	711
536	822	709
537	823	707
538	824	705
539	825	703
540	826	701
541	827	699
542	829	697
543	830	695
544	831	693
545	832	691
546	832	689
547	834	687
548	835	686
549	836	684
550	837	682
551	838	680
552	839	678
553	840	676
554	841	674
555	842	672
556	843	670
557	844	668
558	845	666
559	846	664
560	847	662
561	847	660
562	849	659
563	850	657
564	850	655
565	851	653
566	852	651
567	853	649
568	854	647
569	855	645
570	856	643
571	857	641
572	858	639
573	859	638
574	860	636
575	861	634
576	862	632
577	863	630
578	864	628
579	865	626
580	866	625
581	867	623
582	868	621
583	869	619
584	870	617
585	872	616
586	873	614
587	874	612
588	875	610
589	876	608
590	877	607
591	877	605
592	878	603
593	880	601
594	881	599
595	882	598
596	883	596
597	884	594
598	884	592
599	885	590
600	886	588
601	888	587
602	889	585
603	890	583
604	891	582
605	892	580
606	893	578
607	894	576
608	895	575
609	896	573
610	897	571
611	898	569
612	899	567
613	900	565
614	901	564
615	902	562
616	903	560
617	904	559
618	905	557
619	906	555
620	907	553
621	908	551
622	909	550
623	910	548
624	911	546
625	912	545
626	913	543
627	914	541
628	915	539
629	916	538
630	917	536
631	918	534
632	919	533
633	920	531
634	921	529
635	922	527
636	923	526
637	924	524
638	925	522
639	926	521
640	927	519
641	928	517
642	929	516
643	930	514
644	931	512
645	933	511
646	934	509
647	935	508
648	936	506
649	937	504
650	938	502
651	939	501
652	940	499
653	941	498
654	942	496
655	943	494
656	943	492
657	944	491
658	945	489
659	946	487
660	947	485
661	948	484
662	949	482
663	951	481
664	952	479
665	953	477
666	953	476
667	955	475
668	956	473
669	957	471
670	958	469
671	959	468
672	960	466
673	961	464
674	962	463
675	963	461
676	964	460
677	965	458
678	966	456
679	967	455
680	968	453
681	969	451
682	970	450
683	971	448
684	972	447
685	973	445
686	974	443
687	974	442
688	975	440
689	976	438
690	977	437
691	978	435
692	980	434
693	981	432
694	982	431
695	983	429
696	984	428
697	985	426
698	986	424
699	987	423
700	988	421
701	989	420
702	990	418
703	991	416
704	992	415
705	994	414
706	995	412
707	996	411
708	997	409
709	998	407
710	999	406
711	1000	404
712	1002	403
713	1003	401
714	1004	400
715	1005	398
716	1006	397
717	1007	395
718	1008	394
719	1009	392
720	1010	390
721	1011	389
722	1012	387
723	1013	386
724	1014	384
725	1016	383
726	1017	381
727	1018	380
728	1019	378
729	1020	377
730	1021	375
731	1022	374
732	1023	372
733	1024	371
734	1025	369
735	1026	368
736	1027	366
737	1029	365
738	1030	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1038	351
747	1040	350
748	1041	348
749	1042	347
750	1043	345
751	1044	344
752	1045	343
753	1047	341
754	1048	340
755	1049	338
756	1050	337
757	1051	335
758	1052	334
759	1054	332
760	1055	331
761	1056	329
762	1057	328
763	1058	326
764	1059	325
765	1060	324
766	1062	322
767	1063	321
768	1064	319
769	1065	318
